,sitename,url,collectiondate,startdate,enddate,companyname,location,recruitfield,recruittype,recruitclassification,personnel,salary,position,task,qualifications,prefer,welfare,description,stacks
0,SEEK,https://www.seek.com.au/job/61386563?type=promoted,1677038212.0,1677038212.0,,Chemistworks,"Wetherill Park, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Which of the following statements best describes your right to work in Australia?
Have you worked in a pharmacy before?
Do you have customer service experience?
Do you have experience using point of sale (POS) software?
",
1,SEEK,https://www.seek.com.au/job/61380338?type=promoted,1677038212.0,1677038212.0,,Virgin Australia,Brisbane QLD,,,,,,"Aviation Services (Manufacturing, Transport & Logistics)",,,,,,
2,SEEK,https://www.seek.com.au/job/61348482?type=standard,1677038213.0,1676951813.0,,Western Sydney Local Health District,3.1,,,,,,9 reviews,,,,,,
3,SEEK,https://www.seek.com.au/job/61318009?type=standard,1677038213.0,1676865413.0,,Western Sydney Local Health District,3.1,,,,,,9 reviews,,,,,,
4,SEEK,https://www.seek.com.au/job/61383812?type=standout,1677038214.0,1677038214.0,,VIT,Melbourne VIC,,,,,,Administrative Assistants (Administration & Office Support),,,,,,
5,SEEK,https://www.seek.com.au/job/61377344?type=standout,1677038214.0,1677038214.0,,Easy Signs P/L,Sydney NSW,,,,,,Customer Service - Call Centre (Call Centre & Customer Service),,,,,"Which of the following statements best describes your right to work in Australia?
What's your highest level of education?
",
6,SEEK,https://www.seek.com.au/job/61316282?type=standard,1677038215.0,1676865415.0,,Gamma Education & Training Pty Ltd,Sydney NSW,,,,,,Administrative Assistants (Administration & Office Support),,,,,"How would you rate your English language skills?
Do you have experience working for a registered training organisation (RTO)?
Which of the following statements best describes your right to work in Australia?
How many years' experience do you have as an Administration Support Officer?
",
7,SEEK,https://www.seek.com.au/job/61384905?type=standout,1677038215.0,1677038215.0,,Australian Campus Management Pty Ltd,Melbourne VIC,,,,,,Student Services (Education & Training),,,,,"Which of the following statements best describes your right to work in Australia?
Do you have experience in administration?
Do you have experience working for a registered training organisation (RTO)?
",
8,SEEK,https://www.seek.com.au/job/61384718?type=standout,1677038216.0,1677038216.0,,SNR Logistics PTY LTD,"Campbelltown, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Which of the following statements best describes your right to work in Australia?
Do you have a current Australian driver's licence?
",
9,SEEK,https://www.seek.com.au/job/61352880?type=standard,1677038216.0,1676951816.0,,St John of God Health Care Inc,Perth WA,,,,,,Administrative Assistants (Administration & Office Support),,,,,,
10,SEEK,https://www.seek.com.au/job/61366587?type=standard,1677038217.0,1677038217.0,,Balmain Veterinary Hospital,"Rozelle, Sydney NSW",,,,,,Receptionists (Administration & Office Support),,,,,"Do you have customer service experience?
Which of the following statements best describes your right to work in Australia?
How many years' experience do you have as a Veterinary Receptionist?
",
11,SEEK,https://www.seek.com.au/job/61357420?type=standard,1677038217.0,1676951817.0,,Department of Communities and Justice,"North West & Hills District, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
12,SEEK,https://www.seek.com.au/job/61361937?type=standard,1677038218.0,1677038218.0,,Surge Direct,Melbourne VIC,,,,,,Retail Assistants (Retail & Consumer Products),,,,,"Which of the following statements best describes your right to work in Australia?
How much notice are you required to give your current employer?
",
13,SEEK,https://www.seek.com.au/job/61378133?type=standout,1677038218.0,1677038218.0,,St Vincent's Private Hospital Brisbane,"Kangaroo Point, Brisbane QLD",,,,,,Medical Administration (Healthcare & Medical),,,,,,
14,SEEK,https://www.seek.com.au/job/61359088?type=standard,1677038219.0,1677038219.0,,Foundation Education Pty. Ltd.,"Bowen Hills, Brisbane QLD",,,,,,Student Services (Education & Training),,,,,"Which of the following statements best describes your right to work in Australia?
",
15,SEEK,https://www.seek.com.au/job/61372722?type=standard,1677038219.0,1677038219.0,,Allgate,"Ingleburn, Sydney NSW",,,,,,Receptionists (Administration & Office Support),,,,,,
16,SEEK,https://www.seek.com.au/job/61360109?type=standout,1677038219.0,1677038219.0,,Wellways Australia Limited,"Campbelltown, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
17,SEEK,https://www.seek.com.au/job/61346305?type=standout,1677038220.0,1676951820.0,,Wesley Mission Queensland,"Chermside, Brisbane QLD",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
18,SEEK,https://www.seek.com.au/job/61383724?type=standard,1677038221.0,1677038221.0,,Private Advertiser,Sydney NSW,,,,,,Student Services (Education & Training),,,,,"Do you have experience in administration?
Do you have experience working for a registered training organisation (RTO)?
How would you rate your English language skills?
Which of the following statements best describes your right to work in Australia?
Which of the following statements best describes your Covid-19 vaccination status?
How many years' experience do you have as a Student Services Officer?
Do you have customer service experience?
Which of the following Microsoft Office products are you experienced with?
",
19,SEEK,https://www.seek.com.au/job/61383777?type=standard,1677038222.0,1677038222.0,,Mitchell Morley Employees Pty Ltd,"North Shore & Northern Beaches, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"What is your desired Salary?
Are you able to commute to this location? 
",
20,SEEK,https://www.seek.com.au/job/61384263?type=standard,1677038222.0,1677038222.0,,ACI - NSW Agency for Clinical Innovation,Sydney NSW,,,,,,Administrative Assistants (Administration & Office Support) • Government - State (Government & Defence),,,,,,
21,SEEK,https://www.seek.com.au/job/61345470?type=standout,1677038223.0,1676951823.0,,Victoria Police,"Glen Waverley, Melbourne VIC",,,,,,Administrative Assistants (Administration & Office Support) • Government - State (Government & Defence),,,,,,
